,"y","b","b-h2o","a","b-nh3","y-nh3","b-h2o-h2o"
1,2.80730515919755,0.991640169115942,0,-3.13549421592915,-1.18958406687384,-3.13549421592915,-2.4423470353692
2,2.85437815524826,0.969400557188104,0.167054084663166,-3.09104245335832,-1.48160454092422,-1.99243016469021,-1.99243016469021
3,3.38680864421006,1.07451473708905,0.405465108108164,-1.54044504094715,-1.02961941718116,0,-1.94591014905531
4,2.41335949849595,0.158224005214894,-0.297251523467932,-2.86220088092947,-2.4567357728213,0,-2.86220088092947
5,2.6951467962663,0.749236647210989,0.109199291964992,0,-2.15948424935337,0,-2.56494935746154
6,3.06805293513362,0.93826963859293,0.664976303593249,-1.09861228866811,-1.79175946922806,0,-1.28093384546206
7,2.76506045581899,0.609765571620894,-0.174353387144778,-2.52572864430826,-1.42711635564015,0,-2.12026353620009
8,2.20775099032321,0.133531392624523,-0.793230639116928,-3.04452243772342,-2.35137525716348,-3.73766961828337,-3.04452243772342
9,2.82246055227995,1.12846525181779,0.167054084663166,-1.99243016469021,-2.39789527279837,-1.70474809223843,-1.48160454092422
10,1.30751348326678,0.715620036412004,-0.893817876022096,-4.18965474202643,-3.09104245335832,-1.05416052609728,-4.18965474202643
11,-1.03889305396649,1.57181592064452,-1.28401551199947,-3.07577498122753,-2.78809290877575,0.102278849120418,-3.48124008933569
12,-1.22377543162212,1.23752135252675,-1.67006253425054,-3.05635689537043,-3.34403896782221,-0.152191815341926,-4.44265125649032
13,-1.30405626288292,1.48160454092422,-1.6094379124341,-2.86220088092947,-2.30258509299405,0.068992871486952,-3.14988295338125
14,-1.18269540587865,1.56659775375761,-1.48807705542983,-2.7408400239252,-2.33537491581704,0.405465108108164,-2.51769647261099
15,-0.863046217355343,1.56142869324774,-1.59393372589814,-3.06027079469156,-2.36712361413162,0.171850256926659,-2.36712361413162
16,-1.66915714713572,1.48620527201015,-1.14306405123894,-3.13549421592915,-2.84781214347737,0.147920130076622,-2.84781214347737
17,-1.21194097397511,1.24593700342497,-1.54044504094715,-3.3322045101752,-2.63905732961526,-0.182321556793955,-3.73766961828337
18,-1.0857088838322,1.40239776868647,-1.63575522075147,-2.26436388017385,-2.73436750941958,-0.354821375289409,-3.65065824129374
19,-1.38629436111989,0.502728413533371,-1.45298573561856,-1.08261194732167,-2.87437141654972,-0.831297519040762,-2.7408400239252
20,-1.13309846473928,-0.687513362841689,-1.30494872166594,-0.622272840973288,-2.53709240295857,-2.34293638851761,-4.07753744390572
21,-1.0626186860202,-1.20922216021208,-1.46808379412837,-0.498683236940265,-2.41906008399041,-3.64283551561253,-3.86597906692674
22,-1.07575415059206,-0.90479635244842,-1.39209147880422,-0.357501048901038,-1.97523776414983,-4.05467930582967,-3.20738144544247
23,-1.09861228866811,-1.11600403137998,-1.17007125265025,-0.338773733609492,-2.38646657697475,-2.85647020622048,-3.21314515015922
24,-0.841788204576234,-1.19116384603336,-1.36985563477673,-0.488966829953492,-2.55943970165057,-3.25258688221051,-3.11905548958599
25,-1.03609193168678,-0.963066796671886,-1.37559907200314,-0.534398791484057,-2.7408400239252,-3.43398720448515,-4.12713438504509
26,-1.07788615815099,-1.38107241713874,-1.58871178191698,-0.481588803580965,-2.54422322694442,-2.54422322694442,-3.05504885071041
27,-1.44155703979494,-1.11487280953989,-1.31372366828506,-0.682451891443197,-1.64222773525709,-2.33537491581704,-2.82785140091483
28,-1.70952137099108,-1.43508452528932,-1.58590741502391,-0.940388283453216,-2.9492122579191,-1.73618961807324,-1.97981170073099
29,-2.3493027175615,-1.84721077376427,-1.57277392806251,-1.90127799503455,-2.44027449576723,-1.34166220709912,-2.15259242331545
30,-2.81341071676004,-2.15416508787577,-1.4784096500277,-2.95651156040071,-2.3859667019331,-1.28735441326499,-1.73727128394399
31,-2.54668400948424,-1.69101789942652,-1.39091330697619,-2.54668400948424,-2.04769284336526,-1.08943791239207,-1.39091330697619
32,-2.76080076648774,-2.00702896411136,-1.62136648329937,-3.45394794704768,-2.06765358592779,-1.35900221883188,-1.79571987044415
33,-2.39386955207816,-2.26599108575643,-1.70060963830125,-2.44024999512703,-2.22669406293849,-1.28011506531638,-1.5727447037679
34,-2.85998908450077,-1.95928465589743,-1.55376871282496,-2.59163677818865,-2.4293187873622,-1.04296342273459,-1.49312016956654
35,-2.90548469718683,-1.83765716450511,-1.27793847367905,-2.90548469718683,-2.12529121429018,-0.896635167469213,-1.51919033606694
36,-2.48480378923596,-2.12195196060153,-1.56856242910637,-3.31165870127362,-2.03862530766335,-1.36566793631275,-1.49628999344451
37,-2.72452712646574,-2.0313799459058,-1.50817124598309,-2.85800780786533,-2.09589480148504,-0.85275225667356,-1.19309872794599
38,-2.63911904594645,-2.05126837899624,-1.85058313818533,-2.8621185984124,-2.30260566468123,-1.3581211984363,-1.25275268281047
39,0,0,-1.22378743145412,-2.83329334565629,-2.14014616509635,-0.75380930232951,-2.83329334565629
40,0,0,0,0,-1.09861228866811,0,0
-1,-5.53992956499988,-4.7044185237451,-2.18260894684941,-4.52224329690682,-3.45853266796127,-4.39337488849057,-4.58202649446102
