,y,b,b-h2o,a,b-nh3,y-nh3,b-h2o-h2o
1,7.412475345185642,5.596810355104033,4.605170185988092,1.4696759700589417,3.415586119114255,1.4696759700589417,2.162823150618887
2,7.459548341236351,5.574570743176195,4.772224270651257,1.5141277326297755,3.123565645063876,2.6127400212978853,2.6127400212978853
3,7.991978830198147,5.679684923077141,5.0106352940962555,3.0647251450409425,3.575550768806933,0.0,2.659260036932778
4,7.018529684484044,4.763394191202985,4.3079186625201595,1.7429693050586228,2.1484344131667874,0.0,1.7429693050586228
5,7.300316982254394,5.35440683319908,4.714369477953084,0.0,2.4456859366347192,0.0,2.0402208285265546
6,7.673223121121708,5.5434398245810215,5.27014648958134,3.506557897319982,2.8134107167600364,0.0,3.3242363405260273
7,7.370230641807081,5.214935757608986,4.430816798843313,2.0794415416798357,3.1780538303479458,0.0,2.4849066497880004
8,6.812921176311298,4.738701578612614,3.811939546871163,1.5606477482646683,2.2537949288246137,0.8675005677047231,1.5606477482646683
9,7.4276307382680455,5.733635437805883,4.772224270651257,2.6127400212978853,2.207274913189721,2.900422093749666,3.123565645063876
10,5.912683669254868,5.320790222400095,3.711352309965995,0.4155154439616658,1.5141277326297755,3.5510096598908154,0.4155154439616658
11,3.566277132021604,6.176986106632607,3.321154673988619,1.5293952047605641,1.817077277212345,4.707449035108509,1.1239300966523995
12,3.3813947543659757,5.842691538514842,2.9351076517375563,1.5488132906176655,1.2611312181658845,4.452978370646166,0.16251892949777494
13,3.3011139231051727,6.0867747269123065,2.995732273553991,1.7429693050586228,2.3025850929940455,4.674163057475043,1.455287232606842
14,3.4224747801094404,6.171767939745699,3.1170931305582585,1.8643301620628905,2.2697952701710546,5.0106352940962555,2.0874737133771
15,3.7421239686327485,6.166598879235831,3.011236460089956,1.5448993912965292,2.2380465718564744,4.7770204429147505,2.2380465718564744
16,2.9360130388523684,6.091375457998243,3.4621061347491477,1.4696759700589417,1.7573580425107225,4.753090316064713,1.7573580425107225
17,3.3932292120129786,5.851107189413059,3.0647251450409425,1.2729656758128873,1.9661128563728327,4.422848629194137,0.8675005677047231
18,3.51946130215589,6.007567954674561,2.9694149652366177,2.3408063058142434,1.870802676568508,4.250348810698682,0.9545119446943529
19,3.2188758248682006,5.107898599521462,3.1521844503695284,3.5225582386664227,1.730798769438368,3.773872666947329,1.8643301620628905
20,3.4720717212488124,3.917656823146402,3.3002214643221532,3.9828973450148033,2.068077783029521,2.2622337974704783,0.527632742082372
21,3.542551499967887,3.3959480257760117,3.1370863918597225,4.106486949047826,2.1861101019976776,0.9623346703755619,0.7391911190613522
22,3.529416035396032,3.7003738335396714,3.213078707183875,4.247669137087054,2.6299324218382583,0.5504908801584223,1.3977887405456257
23,3.506557897319982,3.4891661546081125,3.435098933337837,4.266396452378599,2.218703609013344,1.7486999797676082,1.3920250358288757
24,3.7633819814118574,3.4140063399547365,3.235314551211361,4.1162033560346,2.045730484337524,1.352583303777579,1.4861146964021017
25,3.5690782543013158,3.6421033893162056,3.2295711139849486,4.070771394504034,1.8643301620628905,1.1711829815029453,0.4780358009429999
26,3.5272840278370987,3.2240977688493526,3.0164584040711078,4.123581382407126,2.0609469590436715,2.0609469590436715,1.5501213352776808
27,3.163613146193151,3.4902973764482015,3.2914465177030365,3.922718294544894,2.962942450731,2.2697952701710546,1.7773187850732606
28,2.8956488149970085,3.170085660698769,3.019262770964185,3.664781902534876,1.6559579280689933,2.8689805679148472,2.6253584852570966
29,2.2558674684265863,2.7579594122238222,3.0323962579255825,2.7038921909535465,2.1648956902208596,3.263507978888969,2.4525777626726404
30,1.791759469228055,2.451005098112319,3.126760535960395,1.6486586255873816,2.2192034840549946,3.3178157727231046,2.867898902044106
31,2.058486176503848,2.914152286561568,3.214256879011906,2.058486176503848,2.557477342622836,3.515732273596023,3.214256879011906
32,1.8443694195003524,2.5981412218767326,2.983803702688717,1.151222238940407,2.5375166000602976,3.2461679671562083,2.8094503155439394
33,2.2113006339099317,2.339179100231666,2.9045605476868386,2.1649201908610625,2.3784761230496034,3.3250551206717103,3.0324254822201935
34,1.7451811014873255,2.6458855300906654,3.051401473163129,2.0135334077994393,2.1758513986258907,3.562206763253502,3.1120500164215494
35,1.699685488801262,2.767513021482984,3.32723171230904,1.699685488801262,2.4798789716979113,3.708535018518878,3.0859798499211526
36,2.1203663967521313,2.483218225386561,3.036607756881726,1.293511484714467,2.566544878324746,3.2395022496753425,3.108880192543586
37,1.880643059522348,2.5737902400822934,3.096998940005006,1.7471623781227656,2.509275384503053,3.752417929314532,3.4120714580420994
38,1.9660511400416434,2.5539018069918495,2.754587047802762,1.7430515875756916,2.302564521306858,3.247048987551795,3.3524175031776213
39,0.0,0.0,3.3813827545339734,1.7718768403318006,2.4650240208917458,3.851360883658582,1.7718768403318006
40,0.0,0.0,0.0,0.0,3.506557897319982,0.0,0.0
-1,-2.634444867813054,-2.4384274379886737,-0.33202580866407816,-0.3325885548803924,-0.11449370013905605,-0.3386955826608953,-0.13937523797069834
